"","titulo","link","desc","data","categoria_principal"
"35","Cielo lanÁa sistema de pagamentos por QR Code para smartphones","www.valor.com.br/financas/5856783/cielo-lanca-sistema-de-pagamentos-por-qr-code-para-smartphones","Cerca de 40 milhıes de clientes de instituiÁıes parceiras j· est„o aptos a usar a soluÁ„o","18/09/2018 ‡s 11h28","cielo, code, lanca, pagamento, sistema, smartphon, apto, cerca, client, estao, instituico, milho, parceira, solucao, usar, carto"
"36","BNDES lanÁa edital para fundo de R$ 500 milhıes em infraestrutura","www.valor.com.br/financas/5856781/bndes-lanca-edital-para-fundo-de-r-500-milhoes-em-infraestrutura","Banco espera aumentar a base de investidores e incrementar a liquidez de tÌtulos do setor, bem como securitizar parte de sua carteira","18/09/2018 ‡s 11h28","bndes, edit, fundo, infraestrutura, lanca, milho, aumentar, banco, base, bem, carteira, espera, incrementar, investidor, liquidez, part, securitizar, setor, titulo, financa"
"37","DÛlar opera perto da estabilidade e È cotado na casa de R$ 4,13","www.valor.com.br/financas/5856471/dolar-opera-perto-da-estabilidade-e-e-cotado-na-casa-de-r-413","Acirramento da disputa comercial entre China e EUA e corrida eleitoral brasileira dividem atenÁıes dos investidores","18/09/2018 ‡s 10h28","casa, cotado, dolar, estabilidad, opera, perto, acirramento, atenco, brasileira, china, comerci, corrida, disputa, dividem, eleitor, eua, investidor, mercado"
"38","Bolsas da ¡sia ignoraram tarifas sobre China e fecham em alta","www.valor.com.br/financas/5855807/bolsas-da-asia-ignoraram-tarifas-sobre-china-e-fecham-em-alta","Raz„o est· na antecipaÁ„o dessa notÌcia h· semanas, seja por declaraÁıes dos dois governos, seja por an·lises e cobertura na imprensa","18/09/2018 ‡s 08h18","alta, asia, bolsa, china, fecham, ignoraram, sobr, tarifa, analis, antecipacao, cobertura, declaraco, dessa, doi, governo, imprensa, noticia, razao, semana, mercado"
"39","Bolsa prepara mudanÁas no mercado de acesso","www.valor.com.br/financas/5854869/bolsa-prepara-mudancas-no-mercado-de-acesso","ApÛs 13 anos do Bovespa Mais, discussıes visam reduÁ„o de exigÍncias para aumentar ades„o de empresas","18/09/2018 ‡s 05h00","mercado"
"40","Mercado trata Haddad com ceticismo","www.valor.com.br/financas/5854867/mercado-trata-haddad-com-ceticismo","Ibovespa sobe 1,80% e dÛlar cai 0,98%, mas alÌvio ainda deve ser colocado ‡ prova","18/09/2018 ‡s 05h00","mercado"
"41","AgÍncia adverte Credit por falha no combate ‡ lavagem de dinheiro","www.valor.com.br/financas/5854865/agencia-adverte-credit-por-falha-no-combate-lavagem-de-dinheiro","Regulador pede que instituiÁ„o suÌÁa reforce medida de proteÁ„o e cita casos de Fifa, Petrobras e PDVSA","18/09/2018 ‡s 05h00","advert, agencia, combat, credit, dinheiro, falha, lavagem, caso, cita, fifa, instituicao, medida, pdvsa, pede, petrobra, protecao, reforc, regulador, suica, financeira, instituico"
"42","DÛlar e aÁıes caem em NY com tens„o comercial","www.valor.com.br/financas/5854863/dolar-e-acoes-caem-em-ny-com-tensao-comercial","Baixa foi puxada pelo setor de tecnologia","18/09/2018 ‡s 05h00","aco, caem, comerci, dolar, tensao, baixa, puxada, setor, tecnologia, mercado"
"43","Que diferenÁa faz o resultado eleitoral para os investimentos?","www.valor.com.br/financas/5854859/que-diferenca-faz-o-resultado-eleitoral-para-os-investimentos","… importante olhar os fundamentos macro e microeconÙmicos, mas com cuidado adicional para necessidade de hedge e diversificaÁ„o","18/09/2018 ‡s 05h00","investimento"
"44","BCE deve seguir com orientaÁ„o futura mesmo apÛs fim do 'QE'","www.valor.com.br/financas/5854857/bce-deve-seguir-com-orientacao-futura-mesmo-apos-fim-do-qe","A sinalizaÁ„o de que os juros permaneceriam nas mÌnimas histÛricas por um longo tempo fez com que as taxas de mercado ficassem contidas","18/09/2018 ‡s 05h00","mercado"
"45","Deutsche Bank pode transferir ativos de Londres apÛs Brexit","www.valor.com.br/financas/5854855/deutsche-bank-pode-transferir-ativos-de-londres-apos-brexit","Banco j· designou mais de um quarto de seus ativos no Reino Unido para transferÍncia","18/09/2018 ‡s 05h00","ativo"
"46","Governo reduz novamente orÁamento para o seguro rural","www.valor.com.br/agro/5854323/governo-reduz-novamente-orcamento-para-o-seguro-rural","Na proposta de OrÁamento que enviou ao Congresso, Planalto previu R$ 450 milhıes, menos que os R$ 600 milhıes prometidos por Blairo Maggi","17/09/2018 ‡s 18h31","orcamento, milho"
"47","Ibovespa sobe, mas risco polÌtico mantÈm cautela dos investidores","www.valor.com.br/financas/5854307/ibovespa-sobe-mas-risco-politico-mantem-cautela-dos-investidores","Com a ascens„o de Fernando Haddad nas pesquisas de intenÁ„o de voto as preocupaÁıes continuam rondando os negÛcios","17/09/2018 ‡s 18h27","cautela, ibovespa, investidor, mantem, politico, risco, sobe, ascensao, continuam, fernando, haddad, intencao, negocio, pesquisa, preocupaco, rondando, voto, mercado"
"48","DÛlar tem maior queda desde atentado contra Bolsonaro","www.valor.com.br/financas/5854295/dolar-tem-maior-queda-desde-atentado-contra-bolsonaro","Na mÌnima, o dÛlar comercial caiu a R$ 4,1181, depois de subir atÈ R$ 4,2036 no pior momento de nervosismo do dia","17/09/2018 ‡s 18h22","dolar"
"49","NY: Bolsas fecham em baixa, com tecnologia e tens„o EUA-China","www.valor.com.br/financas/5854255/ny-bolsas-fecham-em-baixa-com-tecnologia-e-tensao-eua-china","Entre as maiores perdas do dia est„o as aÁıes da Apple, que caÌram 2,66%, da Amazon, que recuaram 3,16% e do Twitter, com perdas de 4,2%","17/09/2018 ‡s 18h13","perda"
"50","Investidores acompanham discursos do PT e PSL e juros futuros caem","www.valor.com.br/financas/5854123/investidores-acompanham-discursos-do-pt-e-psl-e-juros-futuros-caem","ApÛs primeiras reaÁıes negativas ‡s pesquisas eleitorais no inÌcio do preg„o, os contratos de juros futuros passaram a cair no fim da manh„","17/09/2018 ‡s 17h35","futuro, juro"
