"titulo","link","desc","data","categoria_principal"
"Sete erros que os pais cometem na hora de dar mesada","http://www.dsop.com.br/para-voce/noticias/2018/02/erros-mesada/","A mesada é uma ótima ferramenta para inserir as crianças e jovens no universo financeiro. No entanto, há alguns erros cometidos pelos pais/responsáveis nessa hora que podem fazer com que tenha o efeito contrário, dando maus exemplos à nova geração. “Se bem aplicada, ao invés de ser um incentivo ao consumo, se torna um meio… Leia mais",2018-02-15 17:46:34,"erro, hora, mesada, cometem, dar, pai, sete, algun, aplicada, bem, cometido, consumo, contrario, crianca, dando, efeito, entanto, exemplo, fazer, ferramenta, financeiro, geracao, incentivo, inserir, inv, joven, maus, meio, nessa, nova, otima, paisresponsavei, podem, ser, torna, universo, â€œ, noticia, voce"
"Pagar na última hora pode gerar prejuízos e antecipar lucros","http://www.dsop.com.br/para-voce/noticias/2018/01/pagar-ultima-hora-prejuizos/","Deixar tudo para última hora é sinônimo de jogar dinheiro fora e isso pode gerar prejuízos. É o que aponta o doutor em Educação Financeira Reinaldo Domingos, em seu canal do Youtube Dinheiro à Vista. Domingos afirma que antes de realizar uma compra é necessário se planejar. Assim é mais fácil de evitar endividamento. “É importante… Leia mais",2018-01-23 12:04:24,"gerar, hora, pode, prejuizo, ultima, dinheiro, domingo"
"Parar de fumar pode render R$ 1 milhão em 30 anos","http://www.dsop.com.br/para-voce/noticias/2018/01/parar-de-fumar-render/","O consumo de cigarro vem caindo gradativamente nos últimos anos, mas o número de pessoas que possui esse vício no Brasil ainda é grande. Além de gerar problemas para a saúde física, o fumante também é prejudicado em outra saúde, a financeira. Se parar de fumar um maço de cigarro por dia, economizar e investir… Leia mais",2018-01-15 12:00:41,"ano, fumar, parar, cigarro, saud"
"Hora de comprar o material escolar? Confira 8 orientações para economizar","http://www.dsop.com.br/para-voce/noticias/2018/01/comprar-material-escolar-economizar/","Os preços de material escolar varia muito entre lojas, inclusive online, por isso é importante pesquisar e planejar as compras para economizar sem ter que abrir mão da qualidade nos estudos das crianças. Para quem tem filhos, esse é um dos maiores gastos do início do ano e devido à falta de educação financeira, diversas… Leia mais",2018-01-12 15:27:02,"economizar, escolar, materi, comprar, confira, hora, orientaco, abrir, ano, compra, crianca, devido, diversa, educacao, estudo, falta, filho, financeira, gasto, important, inclus, inicio, loja, maior, mao, onlin, pesquisar, planejar, preco, qualidad, ter, varia, noticia, voce"
"IPVA e IPTU: como se preparar para estas contas de início de ano?","http://www.dsop.com.br/para-voce/noticias/2017/12/ipva-e-iptu-como-se-preparar/","Terminar o ano bem, financeiramente falando, já é meio caminho andado para iniciar o ano bem, até porque, logo nos primeiros meses, temos gastos com matrícula e material escolar, algumas parcelas das compras de fim de ano e aquelas fixas, como IPVA e IPTU. – Baixe já e eBook gratuito Fique no Azul em 2018… Leia mais",2017-12-22 07:24:56,"ano, iptu, ipva, bem, conta, inicio, preparar, alguma, andado, ate, azul, baix, caminho, compra, ebook, escolar, falando, fim, financeirament, fiqu, fixa, gasto, gratuito, iniciar, leia, logo, materi, matricula, meio, mese, parcela, porqu, primeiro, terminar, noticia, voce"
"Veja 8 dicas sobre como economizar nas compras de Natal de última hora","http://www.dsop.com.br/para-voce/noticias/2017/12/como-economizar-compras-ultima-hora/","Cair no descontrole financeiro no final do ano é um risco iminente, por isso é importante orientar e mostrar como economizar a quem está no limite do orçamento, fazendo compras de última hora para a ceia de Natal, confraternizações e troca de presentes. A chegada da segunda parcela do 13º salário – que tem data… Leia mais",2017-12-20 12:10:38,"compra, economizar, hora, natal, ultima"
"VÍDEO: Fuja da loucura! Aprenda a comprar presentes de Natal!","http://www.dsop.com.br/para-voce/videos-para-voce/2017/12/comprar-presentes-de-natal/",NA,2017-12-18 15:04:34,"aprenda, comprar, fuja, loucura, natal, present, video, noticia, voce"
"VÍDEO: Cofrinhos tiram de circulação R$ 1,5 bilhão em moedas, diz BC","http://www.dsop.com.br/para-voce/videos-para-voce/2017/12/cofrinhos-circulacao-moedas/","Quase R$ 1,5 bilhão em moedas estão fora de circulação, de acordo com o Banco Central. Atualmente temos pouco mais de 25 bilhões de moedas em circulação, o que corresponde a R$ 6,4 bilhões. O BC estima que 35% desse monte de moedas está perdido ou guardado demais, como em cofrinhos. O presidente da DSOP… Leia mais",2017-12-13 11:25:33,"moeda, circulacao, bilhao, cofrinho, bilho"
"8 pontos fundamentais para se tornar empreendedor em 2018","http://www.dsop.com.br/para-voce/noticias/2017/11/pontos-fundamentais-empreendedor/","Quer ter um negócio próprio e se tornar um empreendedor? A abrir uma empresa é uma decisão de grande responsabilidade, sendo necessários diversos processos, que necessitam de atenção, principalmente, nos detalhes mais técnicos. Alguns pontos de destaque são elaboração do contrato social, a escolha do tipo de tributação da empresa, a escolha do imóvel, obtenção… Leia mais",2017-11-28 11:04:56,"empreendedor, ponto, tornar, empresa, escolha"
"Vai casar em 2018? Veja como juntar dinheiro e realizar este sonho!","http://www.dsop.com.br/para-voce/noticias/2017/11/casar-juntar-dinheiro/","Casar é bom, mas custa caro. Segundo Reinaldo Domingos, PhD em Educação Financeira, é importante que o casal faça um bom orçamento, converse sobre as finanças e poupe para dar início a vida a dois sem dívidas. “Diálogo e planejamento são as palavras-chave. Não há uma ‘fórmula perfeita’ para casar sem dívidas, pois cada casal… Leia mais",2017-11-13 16:02:28,"casar, bom, casal, divida, dinheiro, juntar, realizar, sonho, vai, veja, cada, caro, convers, custa, dar, doi, domingo, educacao, faca, financa, financeira, important, inicio, orcamento, palavraschav, perfeitaâ€™, phd, planejamento, poi, poup, reinaldo, sao, segundo, sobr, vida, â€˜formula, â€œdialogo, noticia, voce"
"CBN: canal Dinheiro à Vista ensina como administrar as finanças em tempos de crise","http://www.dsop.com.br/para-voce/noticias/2017/10/dinheiro-vista-administrar-as-financas/","O presidente da DSOP e doutor em Educação Financeira, Reinaldo Domingos, concedeu entrevista para o programa CBN Madrugada, da rádio CBN. Na ocasião, Domingos tratou sobre seu canal no Youtube, Dinheiro à Vista, no qual aborda temas relacionados à educação financeira. Segundo o especialista, o principal erro está em nem sequer colocar os sonhos na… Leia mais",2017-10-17 10:09:23,"cbn, canal, dinheiro, vista, domingo, educacao, financeira"
